CODE;SYMBOL_CODE;DESCRIPTION
1.X.3.1.3.1.9.4.2;S*G*USAPMC;PUBLIC AFFAIRS JIB CORPS
1.X.3.1.3.1.10;S*G*USAX--;REPLACEMENT HOLDING UNIT (RHU)
1.X.3.1.3.1.10.1;S*G*USAXT-;RHU THEATRE
1.X.3.1.3.1.10.2;S*G*USAXC-;RHU CORPS
1.X.3.1.3.1.11;S*G*USAL--;LABOUR
1.X.3.1.3.1.11.1;S*G*USALT-;LABOUR THEATRE
1.X.3.1.3.1.11.2;S*G*USALC-;LABOUR CORPS
1.X.3.1.3.1.12;S*G*USAW--;"MORAL, WELFARE, RECREATION (MWR)"
1.X.3.1.3.1.12.1;S*G*USAWT-;MWR THEATRE
1.X.3.1.3.1.12.2;S*G*USAWC-;MWR CORPS
1.X.3.1.3.1.13;S*G*USAQ--;QUARTERMASTER (SUPPLY)
1.X.3.1.3.1.13.1;S*G*USAQT-;QUARTERMASTER (SUPPLY) THEATRE
1.X.3.1.3.1.13.2;S*G*USAQC-;QUARTERMASTER (SUPPLY) CORPS
1.X.3.1.3.2;S*G*USM---;MEDICAL
1.X.3.1.3.2.1;S*G*USMT--;MEDICAL THEATRE
1.X.3.1.3.2.2;S*G*USMC--;MEDICAL CORPS
1.X.3.1.3.2.3;S*G*USMM--;MEDICAL TREATMENT FACILITY
1.X.3.1.3.2.3.1;S*G*USMMT-;MEDICAL TREATMENT FACILITY THEATRE
1.X.3.1.3.2.3.2;S*G*USMMC-;MEDICAL TREATMENT FACILITY CORPS
1.X.3.1.3.2.4;S*G*USMV--;MEDICAL VETERINARY
1.X.3.1.3.2.4.1;S*G*USMVT-;MEDICAL VETERINARY THEATRE
1.X.3.1.3.2.4.2;S*G*USMVC-;MEDICAL VETERINARY CORPS
1.X.3.1.3.2.5;S*G*USMD--;MEDICAL DENTAL
1.X.3.1.3.2.5.1;S*G*USMDT-;MEDICAL DENTAL THEATRE
1.X.3.1.3.2.5.2;S*G*USMDC-;MEDICAL DENTAL CORPS
1.X.3.1.3.2.6;S*G*USMP--;MEDICAL PSYCHOLOGICAL
1.X.3.1.3.2.6.1;S*G*USMPT-;MEDICAL PSYCHOLOGICAL THEATRE
1.X.3.1.3.2.6.2;S*G*USMPC-;MEDICAL PSYCHOLOGICAL CORPS
1.X.3.1.3.3;S*G*USS---;SUPPLY
1.X.3.1.3.3.1;S*G*USST--;SUPPLY THEATRE
1.X.3.1.3.3.2;S*G*USSC--;SUPPLY CORPS
1.X.3.1.3.3.3;S*G*USS1--;SUPPLY CLASS I
1.X.3.1.3.3.3.1;S*G*USS1T-;SUPPLY CLASS I THEATRE
1.X.3.1.3.3.3.2;S*G*USS1C-;SUPPLY CLASS I CORPS
1.X.3.1.3.3.4;S*G*USS2--;SUPPLY CLASS II
1.X.3.1.3.3.4.1;S*G*USS2T-;SUPPLY CLASS II THEATRE
1.X.3.1.3.3.4.2;S*G*USS2C-;SUPPLY CLASS II CORPS
1.X.3.1.3.3.5;S*G*USS3--;SUPPLY CLASS III
1.X.3.1.3.3.5.1;S*G*USS3T-;SUPPLY CLASS III THEATRE
1.X.3.1.3.3.5.2;S*G*USS3C-;SUPPLY CLASS III CORPS
1.X.3.1.3.3.5.3;S*G*USS3A-;SUPPLY CLASS III AVIATION
1.X.3.1.3.3.5.3.1;S*G*USS3AT;SUPPLY CLASS III AVIATION
1.X.3.1.3.3.5.3.2;S*G*USS3AC;SUPPLY CLASS III AVIATION CORPS
1.X.3.1.3.3.6;S*G*USS4--;SUPPLY CLASS IV
1.X.3.1.3.3.6.1;S*G*USS4T-;SUPPLY CLASS IV THEATRE
1.X.3.1.3.3.6.2;S*G*USS4C-;SUPPLY CLASS IV CORPS
1.X.3.1.3.3.7;S*G*USS5--;SUPPLY CLASS V
1.X.3.1.3.3.7.1;S*G*USS5T-;SUPPLY CLASS V THEATRE
1.X.3.1.3.3.7.2;S*G*USS5C-;SUPPLY CLASS V CORPS
1.X.3.1.3.3.8;S*G*USS6--;SUPPLY CLASS VI
1.X.3.1.3.3.8.1;S*G*USS6T-;SUPPLY CLASS VI THEATRE
1.X.3.1.3.3.8.2;S*G*USS6C-;SUPPLY CLASS VI CORPS
1.X.3.1.3.3.9;S*G*USS7--;SUPPLY CLASS VII
1.X.3.1.3.3.9.1;S*G*USS7T-;SUPPLY CLASS VII THEATRE
1.X.3.1.3.3.9.2;S*G*USS7C-;SUPPLY CLASS VII CORPS
1.X.3.1.3.3.10;S*G*USS8--;SUPPLY CLASS VIII
1.X.3.1.3.3.10.1;S*G*USS8T-;SUPPLY CLASS VIII THEATRE
1.X.3.1.3.3.10.2;S*G*USS8C-;SUPPLY CLASS VIII CORPS
1.X.3.1.3.3.11;S*G*USS9--;SUPPLY CLASS IX
1.X.3.1.3.3.11.1;S*G*USS9T-;SUPPLY CLASS IX THEATRE
1.X.3.1.3.3.11.2;S*G*USS9C-;SUPPLY CLASS IX CORPS
1.X.3.1.3.3.12;S*G*USSX--;SUPPLY CLASS X
1.X.3.1.3.3.12.1;S*G*USSXT-;SUPPLY CLASS X THEATRE
1.X.3.1.3.3.12.2;S*G*USSXC-;SUPPLY CLASS X CORPS
1.X.3.1.3.3.13;S*G*USSL--;SUPPLY LAUNDRY/BATH
1.X.3.1.3.3.13.1;S*G*USSLT-;SUPPLY LAUNDRY/BATH THEATRE
1.X.3.1.3.3.13.2;S*G*USSLC-;SUPPLY LAUNDRY/BATH CORPS
1.X.3.1.3.3.14;S*G*USSW--;SUPPLY WATER
1.X.3.1.3.3.14.1;S*G*USSWT-;SUPPLY WATER THEATRE
1.X.3.1.3.3.14.2;S*G*USSWC-;SUPPLY WATER CORPS
1.X.3.1.3.3.14.3;S*G*USSWP-;SUPPLY WATER PURIFICATION
1.X.3.1.3.3.14.3.1;S*G*USSWPT;SUPPLY WATER PURIFICATION THEATRE
1.X.3.1.3.3.14.3.2;S*G*USSWPC;SUPPLY WATER PURIFICATION CORPS
1.X.3.1.3.4;S*G*UST---;TRANSPORTATION
1.X.3.1.3.4.1;S*G*USTT--;TRANSPORTATION THEATRE
1.X.3.1.3.4.2;S*G*USTC--;TRANSPORTATION CORPS
1.X.3.1.3.4.3;S*G*USTM--;MOVEMENT CONTROL CENTRE(MCC)
1.X.3.1.3.4.3.1;S*G*USTMT-;MCC THEATRE
1.X.3.1.3.4.3.2;S*G*USTMC-;MCC CORPS
1.X.3.1.3.4.4;S*G*USTR--;RAILHEAD
1.X.3.1.3.4.4.1;S*G*USTRT-;RAILHEAD THEATRE
1.X.3.1.3.4.4.2;S*G*USTRC-;RAILHEAD CORPS
1.X.3.1.3.4.5;S*G*USTS--;SPOD/SPOE
1.X.3.1.3.4.5.1;S*G*USTST-;SPOD/SPOE THEATRE
1.X.3.1.3.4.5.2;S*G*USTSC-;SPOD/SPOE CORPS
1.X.3.1.3.4.6;S*G*USTA--;APOD/APOE
1.X.3.1.3.4.6.1;S*G*USTAT-;APOD/APOE THEATRE
1.X.3.1.3.4.6.2;S*G*USTAC-;APOD/APOE CORPS
1.X.3.1.3.4.7;S*G*USTI--;MISSILE
1.X.3.1.3.4.7.1;S*G*USTIT-;MISSILE THEATRE
1.X.3.1.3.4.7.2;S*G*USTIC-;MISSILE CORPS
1.X.3.1.3.5;S*G*USX---;MAINTENANCE
1.X.3.1.3.5.1;S*G*USXT--;MAINTENANCE THEATRE
1.X.3.1.3.5.2;S*G*USXC--;MAINTENANCE CORPS
1.X.3.1.3.5.3;S*G*USXH--;MAINTENANCE HEAVY
1.X.3.1.3.5.3.1;S*G*USXHT-;MAINTENANCE HEAVY THEATRE
1.X.3.1.3.5.3.2;S*G*USXHC-;MAINTENANCE HEAVY CORPS
1.X.3.1.3.5.4;S*G*USXR--;MAINTENANCE RECOVERY
1.X.3.1.3.5.4.1;S*G*USXRT-;MAINTENANCE RECOVERY THEATRE
1.X.3.1.3.5.4.2;S*G*USXRC-;MAINTENANCE RECOVERY CORPS
1.X.3.1.3.5.5;S*G*USXO--;ORDINANCE
1.X.3.1.3.5.5.1;S*G*USXOT-;ORDINANCE THEATRE
1.X.3.1.3.5.5.2;S*G*USXOC-;ORDINANCE CORPS
1.X.3.1.3.5.5.3;S*G*USXOM-;ORDINANCE MISSILE
1.X.3.1.3.5.5.3.1;S*G*USXOMT;ORDINANCE MISSILE THEATRE
1.X.3.1.3.5.5.3.2;S*G*USXOMC;ORDINANCE MISSILE CORPS
1.X.3.1.3.5.6;S*G*USXE--;ELECTRO-OPTICAL
1.X.3.1.3.5.6.1;S*G*USXET-;ELECTRO-OPTICAL THEATRE
1.X.3.1.3.5.6.2;S*G*USXEC-;ELECTRO-OPTICAL CORPS
1.X.3.1.3.5.7;S*G*USXBDR;BATTLE DAMAGE REPAIR
1.X.3.1.3.5.8;S*G*USXPM-;PREVENTIVE MAINTANANCE
1.X.3.1.3.6;S*G*USXP--;PIPELINE
1.X.3.1.3.7;S*G*USXEP-;ENVIRONMENTAL PROTECTION
1.X.3.1.4;S*G*UH----;SPECIAL C2 HEADQUARTERS COMPONENT
1.X.3.1.5;S*G*UH----;UNIT GENERAL HEADQUARTERS
1.X.3.1.6;S*G*UH----;GENERAL HEADQUARTERS AND SERVICE
1.X.3.1.7;S*G*UHGL--;UNIT GENERAL LIAISON
1.X.3.2;S*G*E-----;GROUND TRACK EQUIPMENT
1.X.3.2.1;S*G*EW----;WEAPONS
1.X.3.2.1.1;S*G*EWM---;MISSILE LAUNCHERS
1.X.3.2.1.1.1;S*G*EWMA--;AIR DEFENCE (AD) MISSILE LAUNCH
1.X.3.2.1.1.1.1;S*G*EWMAS-;SHORT RANGE AD MISSILE LAUNCHERS
1.X.3.2.1.1.1.2;S*G*EWMAI-;INTERMEDIATE RANGE AD MISSILE LAUNCH
1.X.3.2.1.1.1.3;S*G*EWMAL-;LONG RANGE AD MISSILE LAUNCH
1.X.3.2.1.1.1.4;S*G*EWMAT-;AD MISSILE LAUNCH THEATRE
1.X.3.2.1.1.2;S*G*EWMS--;SURFACE-SURFACE (SS) MISSILE LAUNCHER
1.X.3.2.1.1.2.1;S*G*EWMSS-;SHORT RANGE SS MISSILE LAUNCH
1.X.3.2.1.1.2.2;S*G*EWMSI-;INTERMEDIATE RANGE SS MISSILE LAUNCH
1.X.3.2.1.1.2.3;S*G*EWMSL-;LONG RANGE SS MISSILE LAUNCH
1.X.3.2.1.1.3;S*G*EWMT--;MISSILE LAUNCHERS ANTI TANK (AT)
1.X.3.2.1.1.3.1;S*G*EWMTL-;MISSILE LAUNCHERS AT LIGHT
1.X.3.2.1.1.3.2;S*G*EWMTM-;MISSILE LAUNCHER AT MEDIUM
1.X.3.2.1.1.3.3;S*G*EWMTH-;MISSILE LAUNCHER AT HEAVY
1.X.3.2.1.2;S*G*EWS---;SINGLE ROCKET LAUNCHER
1.X.3.2.1.2.1;S*G*EWSL--;SINGLE ROCKET LAUNCHER LIGHT
1.X.3.2.1.2.2;S*G*EWSM--;SINGLE ROCKET LAUNCHER MEDIUM
1.X.3.2.1.2.3;S*G*EWSH--;SINGLE ROCKET LAUNCHER HEAVY
1.X.3.2.1.3;S*G*EWX---;MULTIPLE ROCKET LAUNCHER
1.X.3.2.1.3.1;S*G*EWXL--;MULTIPLE ROCKET LAUNCHER LIGHT
1.X.3.2.1.3.2;S*G*EWXM--;MULTIPLE ROCKET LAUNCHER MEDIUM
1.X.3.2.1.3.3;S*G*EWXH--;MULTIPLE ROCKET LAUNCHER HEAVY
1.X.3.2.1.4;S*G*EWT---;ANTITANK ROCKET LAUNCHER
1.X.3.2.1.4.1;S*G*EWTL--;ANTITANK ROCKET LAUNCHER LIGHT
1.X.3.2.1.4.2;S*G*EWTM--;ANTITANK ROCKET LAUNCHER MEDIUM
1.X.3.2.1.4.3;S*G*EWTH--;ANTITANK ROCKET LAUNCHER HEAVY
1.X.3.2.1.5;S*G*EWR---;RIFLE/AUTOMATIC WEAPON
1.X.3.2.1.5.1;S*G*EWRR--;RIFLE
1.X.3.2.1.5.2;S*G*EWRL--;LIGHT MACHINE GUN
1.X.3.2.1.5.3;S*G*EWRH--;HEAVY MACHINE GUN
1.X.3.2.1.6;S*G*EWZ---;GRENADE LAUNCHER
1.X.3.2.1.6.1;S*G*EWZL--;GRENADE LAUNCHER LIGHT
1.X.3.2.1.6.2;S*G*EWZM--;GRENADE LAUNCHER MEDIUM
1.X.3.2.1.6.3;S*G*EWZH--;GRENADE LAUNCHER HEAVY
1.X.3.2.1.7;S*G*EWO---;MORTAR
1.X.3.2.1.7.1;S*G*EWOL--;MORTAR LIGHT
1.X.3.2.1.7.2;S*G*EWOM--;MORTAR MEDIUM
1.X.3.2.1.7.3;S*G*EWOH--;MORTAR HEAVY
1.X.3.2.1.8;S*G*EWH---;HOWITZER
1.X.3.2.1.8.1;S*G*EWHL--;HOWITZER LIGHT
1.X.3.2.1.8.1.1;S*G*EWHLS-;HOWITZER LIGHT SELF-PROPELLED
1.X.3.2.1.8.2;S*G*EWHM--;HOWITZER MEDIUM
1.X.3.2.1.8.2.1;S*G*EWHMS-;HOWITZER MEDIUM SELF-PROPELLED
1.X.3.2.1.8.3;S*G*EWHH--;HOWITZER HEAVY
1.X.3.2.1.8.3.1;S*G*EWHHS-;HOWITZER HEAVY SELF-PROPELLED
1.X.3.2.1.9;S*G*EWG---;ANTITANK GUN
1.X.3.2.1.9.1;S*G*EWGR--;ANTITANK GUN RECOILLESS
1.X.3.2.1.9.2;S*G*EWGL--;ANTITANK GUN LIGHT
1.X.3.2.1.9.3;S*G*EWGM--;ANTITANK GUN MEDIUM
1.X.3.2.1.9.4;S*G*EWGH--;ANTITANK GUN HEAVY
1.X.3.2.1.10;S*G*EWD---;DIRECT FIRE GUN
1.X.3.2.1.10.1;S*G*EWDL--;DIRECT FIRE GUN LIGHT
1.X.3.2.1.10.1.1;S*G*EWDLS-;DIRECT FIRE GUN LIGHT SELF-PROPELLED
1.X.3.2.1.10.2;S*G*EWDM--;DIRECT FIRE GUN MEDIUM
1.X.3.2.1.10.2.1;S*G*EWDMS-;DIRECT FIRE GUN MEDIUM SELF-PROPELLED
1.X.3.2.1.10.3;S*G*EWDH--;DIRECT FIRE GUN HEAVY
1.X.3.2.1.10.3.1;S*G*EWDHS-;DIRECT FIRE GUN HEAVY SELF-PROPELLED
1.X.3.2.1.11;S*G*EWA---;AIR DEFENCE GUN
1.X.3.2.1.11.1;S*G*EWAL--;AIR DEFENCE GUN LIGHT
1.X.3.2.1.11.2;S*G*EWAM--;AIR DEFENCE GUN MEDIUM
1.X.3.2.1.11.3;S*G*EWAH--;AIR DEFENCE GUN HEAVY
1.X.3.2.2;S*G*EV----;GROUND VEHICLE
1.X.3.2.2.1;S*G*EVA---;ARMOURED VEHICLE
1.X.3.2.2.1.1;S*G*EVAT--;TANK
1.X.3.2.2.1.1.1;S*G*EVATL-;TANK LIGHT
1.X.3.2.2.1.1.1.1;S*G*EVATW-;TANK LIGHT RECOVERY
1.X.3.2.2.1.1.2;S*G*EVATM-;TANK MEDIUM
1.X.3.2.2.1.1.2.1;S*G*EVATX-;TANK MEDIUM RECOVERY
1.X.3.2.2.1.1.3;S*G*EVATH-;TANK HEAVY
1.X.3.2.2.1.1.3.1;S*G*EVATY-;TANK HEAVY RECOVERY
1.X.3.2.2.1.2;S*G*EVAA--;ARMOURED PERSONNEL CARRIER
1.X.3.2.2.1.2.1;S*G*EVAAR-;ARMOURED PERSONNEL CARRIER RECOVERY
1.X.3.2.2.1.3;S*G*EVAI--;ARMOURED INFANTRY
1.X.3.2.2.1.4;S*G*EVAC--;C2V/ACV
1.X.3.2.2.1.5;S*G*EVAS--;COMBAT SERVICE SUPPORT VEHICLE
1.X.3.2.2.1.6;S*G*EVAL--;LIGHT ARMOURED VEHICLE
1.X.3.2.2.2;S*G*EVU---;UTILITY VEHICLE
1.X.3.2.2.2.1;S*G*EVUB--;BUS
1.X.3.2.2.2.2;S*G*EVUS--;SEMI
1.X.3.2.2.2.3;S*G*EVUL--;LIMITED CROSS-COUNTRY TRUCK
1.X.3.2.2.2.4;S*G*EVUX--;CROSS-COUNTRY TRUCK
1.X.3.2.2.2.5;S*G*EVUR--;WATER CRAFT
1.X.3.2.2.3;S*G*EVE---;ENGINEER VEHICLE
1.X.3.2.2.3.1;S*G*EVEB--;BRIDGE
1.X.3.2.2.3.2;S*G*EVEE--;EARTHMOVER
1.X.3.2.2.3.2.1;S*G*EVEE--;MULTIFUNCTIONAL EARTHMOVER/DIGGER
1.X.3.2.2.3.3;S*G*EVEC--;CONSTRUCTION VEHICLE
1.X.3.2.2.3.4;S*G*EVEM--;MINE LAYING VEHICLE
1.X.3.2.2.3.4.1;S*G*EVEMA-;ARMOURED VEHICLE MOUNTED
1.X.3.2.2.3.4.2;S*G*EVEMT-;TRAILER MOUNTED
1.X.3.2.2.3.4.3;S*G*EVEMV-;ARMOURED CARRIER WITH VOLCANO
1.X.3.2.2.3.4.5;S*G*EVEMSM;ARMOURED CARRIER WITH SCATTERABLE MINES
1.X.3.2.2.3.5;S*G*EVED--;DOZER
1.X.3.2.2.3.6;S*G*EVD---;DRILLING VEHICLE
1.X.3.2.2.4;S*G*EVST--;TRAIN LOCOMOTIVE
1.X.3.2.2.5;S*G*EVC---;CIVILIAN VEHICLE
1.X.3.2.3;S*G*ES----;SENSOR
1.X.3.2.3.1;S*G*ESR---;RADAR
1.X.3.2.3.2;S*G*ESE---;EMPLACED SENSOR
1.X.3.2.4;S*G*EX----;SPECIAL EQUIPMENT
1.X.3.2.4.1;S*G*EXL---;LASER
1.X.3.2.4.2;S*G*EXN---;CBRN EQUIPMENT
1.X.3.2.4.3;S*G*EXF---;FLAME THROWER
1.X.3.2.4.4;S*G*EXM---;LAND MINES
1.X.3.2.4.4.1;S*G*EXMC--;"LAND MINES, LETHAL"
1.X.3.2.4.4.2;S*G*EXML--;LESS THAN LETHAL
1.X.3.3;S*G*I-----;INSTALLATION
1.X.3.3.1;S*G*IR----;RAW MATERIAL PRODUCTION/STORAGE
1.X.3.3.1.1;S*G*IRM---;MINE
1.X.3.3.1.2;S*G*IRP---;PETROLEUM/GAS/OIL
1.X.3.3.1.3;S*G*IRN---;CBRN
1.X.3.3.1.3.1;S*G*IRNB--;BIOLOGICAL
1.X.3.3.1.3.2;S*G*IRNC--;CHEMICAL
1.X.3.3.1.3.3;S*G*IRNN--;NUCLEAR
1.X.3.3.2;S*G*IP----;PROCESSING FACILITY
1.X.3.3.2.1;S*G*IPD---;DECON
1.X.3.3.3;S*G*IE----;EQUIPMENT MANUFACTURE
1.X.3.3.4;S*G*IU----;"SERVICE, RESEARCH, UTILITY FACILITY"
1.X.3.3.4.1;S*G*IUR---;TECHNOLOGICAL RESEARCH FACILITY
1.X.3.3.4.2;S*G*IUT---;TELECOMMUNICATIONS FACILITY
1.X.3.3.4.3;S*G*IUE---;ELECTRIC POWER FACILITY
1.X.3.3.4.4;S*G*IUP---;PUBLIC WATER SERVICES
1.X.3.3.5;S*G*IM----;MILITARY MATERIEL FACILITY
1.X.3.3.5.1;S*G*IMF---;ATOMIC ENERGY PRODUCTION
1.X.3.3.5.2;S*G*IMA---;AIRCRAFT PRODUCTION & ASSEMBLY
1.X.3.3.5.3;S*G*IME---;AMMUNITION AND EXPLOSIVES PRODUCTION
1.X.3.3.5.4;S*G*IMG---;ARMAMENT PRODUCTION
1.X.3.3.5.5;S*G*IMV---;MILITARY VEHICLE PRODUCTION
1.X.3.3.5.6;S*G*IMN---;ENGINEERING EQUIPMENT PRODUCTION
1.X.3.3.5.6.1;S*G*IMNB--;BRIDGE
1.X.3.3.5.7;S*G*IMC---;CHEMICAL & BIOLOGICAL WARFARE PRODUCTION
1.X.3.3.5.8;S*G*IMS---;SHIP CONSTRUCTION
1.X.3.3.5.9;S*G*IMM---;MISSILE & SPACE SYSTEM PRODUCTION
1.X.3.3.6;S*G*IG----;GOVERNMENT LEADERSHIP
1.X.3.3.7;S*G*IB----;MILITARY BASE/FACILITY
1.X.3.3.7.1;S*G*IBA---;AIRPORT/AIRBASE
1.X.3.3.7.2;S*G*IBN---;SEAPORT/NAVAL BASE
1.X.3.3.8;S*G*IT----;TRANSPORT FACILITY
1.X.3.3.9;S*G*IX----;MEDICAL FACILITY
1.X.3.3.9.1;S*G*IXH---;HOSPITAL
1.X.3.4;S*G*IR----;SEA SURFACE INSTALLATION
1.X.3.4.1;S*G*IRR---;SEA SURFACE INSTALLATION
1.X.4;S*S*------;SEA SURFACE TRACK
1.X.4.1;S*S*C-----;COMBATANT
1.X.4.1.1;S*S*CL----;LINE
1.X.4.1.1.1;S*S*CLCV--;CARRIER
1.X.4.1.1.2;S*S*CLBB--;BATTLESHIP
1.X.4.1.1.3;S*S*CLCC--;CRUISER
1.X.4.1.1.4;S*S*CLDD--;DESTROYER
1.X.4.1.1.5;S*S*CLFF--;FRIGATE/CORVETTE
1.X.4.1.2;S*S*CA----;AMPHIBIOUS WARFARE SHIP
1.X.4.1.2.1;S*S*CALA--;ASSAULT VESSEL
1.X.4.1.2.2;S*S*CALS--;LANDING SHIP
1.X.4.1.2.3;S*S*CALC--;LANDING CRAFT
1.X.4.1.3;S*S*CM----;MINE WARFARE VESSEL
1.X.4.1.3.1;S*S*CMML--;MINELAYER
1.X.4.1.3.2;S*S*CMMS--;MINESWEEPER
1.X.4.1.3.3;S*S*CMMH--;MINEHUNTER
1.X.4.1.3.4;S*S*CMMA--;MCM SUPPORT
1.X.4.1.3.5;S*S*CMMD--;MCM DRONE
1.X.4.1.4;S*S*CP----;PATROL
1.X.4.1.4.1;S*S*CPSB--;ANTI SUBMARINE WARFARE
1.X.4.1.4.2;S*S*CPSU--;ANTI SURFACE WARFARE
1.X.4.1.5;S*S*CH----;HOVERCRAFT
1.X.4.1.6;S*S*G-----;NAVY GROUP
1.X.4.1.6.1;S*S*GT----;NAVY TASK FORCE
1.X.4.1.6.2;S*S*GG----;NAVY TASK GROUP
1.X.4.1.6.3;S*S*GU----;NAVY TASK UNIT
1.X.4.1.6.4;S*S*GE----;NAVY TASK ELEMENT
1.X.4.1.6.5;S*S*GC----;CONVOY
1.X.4.2;S*S*N-----;NONCOMBATANT
1.X.4.2.1;S*S*NR----;UNDERWAY REPLENISHMENT
1.X.4.2.1.1;S*S*NRA---;"UNDERWAY REPLENISHMENT, AMMO"
1.X.4.2.1.2;S*S*NRO---;"UNDERWAY REPLENISHMENT, OIL"
1.X.4.2.2;S*S*NFT---;"FLEET SUPPORT, TUG, OCEAN GOING"
1.X.4.2.3;S*S*NI----;INTELLIGENCE
1.X.4.2.4;S*S*NM----;HOSPITAL SHIP
1.X.4.2.5;S*S*NR----;REPAIR SHIP
1.X.4.2.6;S*S*NTS---;SUBMARINE TENDER
1.X.4.2.7;S*S*NH----;HOVERCRAFT
1.X.4.2.8;S*S*NS----;SERVICE & SUPPORT HARBOUR
1.X.4.3;S*S*X-----;NON MILITARY
1.X.4.3.1;S*S*XM----;MERCHANT
1.X.4.3.1.1;S*S*XMC---;CARGO
1.X.4.3.1.2;S*S*XME---;ROLL ON-ROLL OFF
1.X.4.3.1.3;S*S*XMO---;OILER/TANKER
1.X.4.3.1.4;S*S*XMT---;TUG
1.X.4.3.1.5;S*S*XMF---;FERRY
1.X.4.3.1.6;S*S*XMP---;PASSENGER
1.X.4.3.1.7;S*S*XMH---;HAZARDOUS MATERIALS
1.X.4.3.1.8;S*S*XMD---;DREDGE
1.X.4.3.2;S*S*XF----;FISHING
1.X.4.3.2.1;S*S*XFDF--;DRIFTER
1.X.4.3.2.2;S*S*XFDR--;DREDGE
1.X.4.3.2.3;S*S*XFTR--;TRAWLER
1.X.4.3.3;S*S*XR----;LEISURE CRAFT
1.X.4.3.4;S*S*XL----;LAW ENFORCEMENT VESSEL
1.X.4.3.5;S*S*XH----;HOVERCRAFT
1.X.4.4;S*S*O-----;OWN TRACK
1.X.4.5;S*S*E-----;EMERGENCY
1.X.4.5.1;S*S*ED----;DITCHED AIRCRAFT
1.X.4.5.2;S*S*EP----;PERSON IN WATER
1.X.4.5.3;S*S*EV----;DISTRESSED VESSEL
1.X.4.6;S*S*Z-----;HAZARD
1.X.4.6.1;S*S*ZM----;SEA MINELIKE
1.X.4.6.2;S*S*ZN----;NAVIGATIONAL
1.X.4.6.3;S*S*ZI----;ICEBERG
1.X.5;S*U*------;SUBSURFACE TRACK
1.X.5.1;S*U*S-----;SUBMARINE
1.X.5.1.1;S*U*SN----;NUCLEAR PROPULSION
1.X.5.1.2;S*U*SC----;CONVENTIONAL PROPULSION
1.X.5.1.3;S*U*SO----;OTHER SUBMERSIBLE
1.X.5.2;S*U*W-----;UNDERWATER WEAPON
1.X.5.2.1;S*U*WT----;TORPEDO
1.X.5.2.2;S*U*WM----;SEA MINE
1.X.5.2.2.1;S*U*WMD---;SEA MINE DEALT
1.X.5.2.2.2;S*U*WMG---;SEA MINE (GROUND)
1.X.5.2.2.2.1;S*U*WMGD--;SEA MINE (GROUND) DEALT
1.X.5.2.2.3;S*U*WMM---;SEA MINE (MOORED)
1.X.5.2.2.3.1;S*U*WMMD--;SEA MINE (MOORED DEALT
1.X.5.2.2.4;S*U*WMF---;SEA MINE (FLOATING)
1.X.5.2.2.4.1;S*U*WMFD--;SEA MINE (FLOATING) DEALT
1.X.5.2.2.5;S*U*WMO---;SEA MINE (IN OTHER POSITION)
1.X.5.2.2.5.1;S*U*WMOD--;SEA MINE (IN OTHER POSITION) DEALT
1.X.5.2.3;S*U*WV----;DRONE (UUV)
1.X.5.3;S*U*WD----;UNDERWATER DECOY
1.X.5.3.1;S*U*WDM---;SEA MINE DECOY
1.X.5.4;S*U*N-----;NON-SUBMARINE
1.X.5.4.1;S*U*ND----;DIVER
1.X.5.4.2;S*U*NB----;BOTTOM RETURN/NOMBO
1.X.5.4.2.1;S*U*NBS---;SEABED INSTALLATION/MANMADE
1.X.5.4.2.2;S*U*NBR---;"SEABED ROCK/STONE, OBSTACLE, OTHER"
1.X.5.4.2.3;S*U*NBW---;WRECK
1.X.5.4.3;S*U*NM----;MARINE LIFE
1.X.5.4.4;S*U*NA----;SEA ANOMALY
1.X.6;S*F*------;SPECIAL OPERATIONS FORCE (SOF) UNIT
1.X.6.1;S*F*A-----;SOF UNIT AVIATION
1.X.6.1.1;S*F*AF----;SOF UNIT FIXED WING
1.X.6.1.1.1;S*F*AFA---;SOF UNIT ATTACK
1.X.6.1.1.2;S*F*AFK---;SOF UNIT REFUEL
1.X.6.1.1.3;S*F*AFU---;SOF UNIT UTILITY
1.X.6.1.1.3.1;S*F*AFUL--;SOF UNIT UTILITY (LIGHT)
1.X.6.1.1.3.2;S*F*AFUM--;SOF UNIT UTILITY (MEDIUM)
1.X.6.1.1.3.3;S*F*AFUH--;SOF UNIT UTILITY (HEAVY)
1.X.6.1.2;S*F*AV----;SOF UNIT VSTOL
1.X.6.1.3;S*F*AH----;SOF UNIT ROTARY WING
1.X.6.1.3.1;S*F*AHH---;SOF UNIT COMBAT SEARCH AND RESCUE
1.X.6.1.3.2;S*F*AHA---;SOF UNIT ATTACK
1.X.6.1.3.3;S*F*AHU---;SOF UNIT UTILITY
1.X.6.1.3.3.1;S*F*AHUL--;SOF UNIT UTILITY (LIGHT)
1.X.6.1.3.3.2;S*F*AHUM--;SOF UNIT UTILITY (MEDIUM)
1.X.6.1.3.3.3;S*F*AHUH--;SOF UNIT UTILITY (HEAVY)
1.X.6.2;S*F*SN----;SOF UNIT SOF UNIT NAVAL
1.X.6.2.1;S*F*SNS---;SOF UNIT SEAL
1.X.6.2.2;S*F*SNU---;SOF UNIT UNDERWATER DEMOLITION TEAM
1.X.6.2.3;S*F*SNB---;SOF UNIT SPECIAL BOAT
