name;nom
TRANSPORTATION CORPS;CORPS DE TRANSPORT
MOVEMENT CONTROL CENTER (MCC);CENTRE DE CONTROLE DES MOUVEMENTS (MCC)
MCC THEATER;MCC THEATER
MCC CORPS;MCC CORPS
RAILHEAD;CHEMIN DE FER
RAILHEAD THEATER;THEATRE DE LA TETE DE RAIL
RAILHEAD CORPS;RAILHEAD CORPS
SPOD/SPOE;SPOD/SPOE
SPOD/SPOE THEATER;THEATRE SPOD/SPOE
SPOD/SPOE CORPS;SPOD/SPOE CORPS
APOD/APOE;APOD/APOE
APOD/APOE THEATER;APOD/APOE THEATRE
APOD/APOE CORPS;APOD/APOE CORPS
MISSILE;MISSILE
MISSILE THEATER;THEATRE DES MISSILES
MISSILE CORPS;CORPS DE MISSILE
MAINTENANCE;MAINTENANCE
MAINTENANCE THEATER;MAINTENANCE THEATER
MAINTENANCE CORPS;MAINTENANCE CORPS
MAINTENANCE HEAVY;MAINTENANCE HEAVY
MAINTENANCE HEAVY THEATER;MAINTENANCE HEAVY THEATER
MAINTENANCE HEAVY CORPS;MAINTENANCE CORPS LOURD
MAINTENANCE RECOVERY;MAINTENANCE RECOVERY
MAINTENANCE RECOVERY THEATER;MAINTENANCE RECOVERY THEATER
MAINTENANCE RECOVERY CORPS;MAINTENANCE RECOVERY CORPS
ORDNANCE;ORDNANCE
ORDNANCE THEATER;ORDNANCE THEATER
ORDNANCE CORPS;ORDNANCE CORPS
ORDNANCE MISSILE;MISSILES D'ARTILLERIE
ORDNANCE MISSILE THEATER;ORDNANCE MISSILE THEATER
ORDNANCE MISSILE CORPS;ORDNANCE MISSILE CORPS
ELECTRO-OPTICAL;ELECTRO-OPTIQUE
ELECTRO-OPTICAL THEATER;THEATRE ELECTRO-OPTIQUE
ELECTRO-OPTICAL CORPS;CORPS D'ELECTRO-OPTIQUE
SPECIAL C2 HEADQUARTERS COMPONENT;COMPOSANTE SPECIALE DU QUARTIER GENERAL C2
EQUIPMENT;EQUIPEMENT
WEAPON;ARME
MISSILE LAUNCHER;LANCEUR DE MISSILES
AIR DEFENSE (AD) MISSILE LAUNCHER;LANCEUR DE MISSILES DE DEFENSE AERIENNE (AD)
SHORT RANGE AD MISSILE LAUNCHER;LANCEUR DE MISSILES DE DEFENSE AERIENNE A COURTE PORTEE
TRANSPORTER LAUNCHER AND RADAR (TLAR);LANCEUR DE TRANSPORTEUR ET RADAR (TLAR)
TRANSPORTER ERECTOR LAUNCHER AND RADAR (TELAR);TRANSPORTEUR ERECTEUR LANCEUR ET RADAR (TELAR)
INTERMEDIATE RANGE AD MISSILE LAUNCHER;LANCEUR DE MISSILES AD A PORTEE INTERMEDIAIRE
TRANSPORTER LAUNCHER AND RADAR (TLAR);TRANSPORTEUR LANCEUR ET RADAR (TLAR)
TRANSPORTER ERECTOR LAUNCHER AND RADAR (TELAR);TRANSPORTEUR ERECTEUR LANCEUR ET RADAR (TELAR)
LONG RANGE AD MISSILE LAUNCHER;LANCEUR DE MISSILES AD LONGUE PORTEE
TRANSPORTER LAUNCHER AND RADAR (TLAR);TRANSPORTEUR LANCEUR ET RADAR (TLAR)
TRANSPORTER ERECTOR LAUNCHER AND RADAR (TELAR);TRANSPORTEUR ERECTEUR LANCEUR ET RADAR (TELAR)
AD MISSILE LAUNCHER THEATER;LANCE-MISSILES AD THEATRE
TRANSPORTER LAUNCHER AND RADAR (TLAR);TRANSPORTEUR LANCEUR ET RADAR (TLAR)
TRANSPORTER ERECTOR LAUNCHER AND RADAR (TELAR);TRANSPORTEUR ERECTEUR LANCEUR ET RADAR (TELAR)
SURF-SURF (SS) MISSILE LAUNCHER;LANCEUR DE MISSILES SURF-SURF (SS)
SHORT RANGE SS MISSILE LAUNCHER;LANCE-MISSILES SS A COURTE PORTEE
INTERMEDIATE RANGE SS MISSILE LAUNCHER;LANCEUR DE MISSILES SS A PORTEE INTERMEDIAIRE
LONG RANGE SS MISSILE LAUNCHER;LANCEUR DE MISSILES SS A LONGUE PORTEE
MISSILE LAUNCHER ANTITANK (AT);LANCE-MISSILES ANTITANK (AT)
MISSILE LAUNCHER AT LIGHT;LANCEUR DE MISSILES LEGER
MISSILE LAUNCHER AT MEDIUM;LANCE-MISSILES MOYEN
MISSILE LAUNCHER AT HEAVY;LANCE-MISSILES LOURD
SINGLE ROCKET LAUNCHER;LANCE-ROQUETTES SIMPLE
SINGLE ROCKET LAUNCHER LIGHT;LANCE-ROQUETTES SIMPLE LEGER
SINGLE ROCKET LAUNCHER MEDIUM;LANCE-ROQUETTES SIMPLE MOYEN
SINGLE ROCKET LAUNCHER HEAVY;LANCE-ROQUETTES SIMPLE LOURD
MULTIPLE ROCKET LAUNCHER;LANCE-ROQUETTES MULTIPLE
MULTIPLE ROCKET LAUNCHER LIGHT;LANCE-ROQUETTES MULTIPLE LEGER
MULTIPLE ROCKET LAUNCHER MEDIUM;LANCE-ROQUETTES MULTIPLE MOYEN
MULTIPLE ROCKET LAUNCHER HEAVY;LANCE-ROQUETTES MULTIPLES LOURD
ANTITANK ROCKET LAUNCHER;LANCE-ROQUETTES ANTICHAR
ANTITANK ROCKET LAUNCHER LIGHT;LANCE-ROQUETTES ANTICHAR LEGER
ANTITANK ROCKET LAUNCHER MEDIUM;LANCE-ROQUETTES ANTICHAR MOYEN
ANTITANK ROCKET LAUNCHER HEAVY;LANCE-ROQUETTES ANTICHAR LOURD
RIFLE/AUTOMATIC WEAPON;FUSIL/ARME AUTOMATIQUE
RIFLE;RIFLE
LIGHT MACHINE GUN;MITRAILLEUSE LEGERE
HEAVY MACHINE GUN;MITRAILLEUSE LOURDE
GRENADE LAUNCHER;LANCE-GRENADES
GRENADE LAUNCHER LIGHT;LANCE-GRENADES LEGER
GRENADE LAUNCHER MEDIUM;LANCE-GRENADES MOYEN
GRENADE LAUNCHER HEAVY;LANCE-GRENADES LOURD
MORTAR;MORTAR
MORTAR LIGHT;MORTAR LEGER
MORTAR MEDIUM;MORTAR MOYEN
MORTAR HEAVY;MORTAR LOURDE
HOWITZER;HOWITZER
HOWITZER LIGHT;HOWITZER LEGER
HOWITZER LIGHT SELF-PROPELLED;OBUSIER LEGER AUTOMOTEUR
HOWITZER MEDIUM;OBUSIER MOYEN
HOWITZER MEDIUM SELF-PROPELLED;OBUSIER MOYEN AUTOMOTEUR
HOWITZER HEAVY;HOWITZER HEAVY
HOWITZER HEAVY SELF-PROPELLED;OBUSIER LOURD AUTOMOTEUR
ANTITANK GUN;CANON ANTICHAR
ANTITANK GUN LIGHT;CANON ANTICHAR LEGER
ANTITANK GUN MEDIUM;CANON ANTICHAR MOYEN
ANTITANK GUN HEAVY;CANON ANTICHAR LOURD
ANTITANK GUN RECOILLESS;CANON ANTICHAR SANS RECUL
DIRECT FIRE GUN;CANON A TIR DIRECT
DIRECT FIRE GUN LIGHT;CANON LEGER A TIR DIRECT
DIRECT FIRE GUN LIGHT SELF-PROPELLED;CANON LEGER A TIR DIRECT AUTOMOTEUR
DIRECT FIRE GUN MEDIUM;CANON A TIR DIRECT MOYEN
DIRECT FIRE GUN MEDIUM SELF-PROPELLED;CANON A TIR DIRECT MOYEN AUTOMOTEUR
DIRECT FIRE GUN HEAVY;CANON A TIR DIRECT LOURD
DIRECT FIRE GUN HEAVY SELF-PROPELLED;CANON A TIR DIRECT LOURD AUTOPROPULSE
AIR DEFENSE GUN;CANON DE DEFENSE AERIENNE
AIR DEFENSE GUN LIGHT;CANON DE DEFENSE ANTIAERIEN LEGER
AIR DEFENSE GUN MEDIUM;CANON DE DEFENSE ANTIAERIEN MOYEN
AIR DEFENSE GUN HEAVY;CANON DE DEFENSE AERIENNE LOURD
GROUND VEHICLE;VEHICULE TERRESTRE
ARMORED VEHICLE;VEHICULE BLINDE
TANK;TANK
TANK LIGHT;TANK LEGER
TANK LIGHT RECOVERY;CHAR DE RECUPERATION LEGER
TANK MEDIUM;TANK MEDIUM
TANK MEDIUM RECOVERY;TANK MEDIUM RECOVERY
TANK HEAVY;RESERVOIR LOURD
TANK HEAVY RECOVERY;RECUPERATION DE CHARS LOURDS
ARMORED PERSONNEL CARRIER;VEHICULE BLINDE DE TRANSPORT DE TROUPES
ARMORED PERSONNEL CARRIER RECOVERY;RECUPERATION DU VEHICULE BLINDE DE TRANSPORT DE TROUPES
ARMORED INFANTRY;INFANTERIE BLINDEE
C2V/ACV;C2V/ACV
COMBAT SERVICE SUPPORT VEHICLE;VEHICULE DE SOUTIEN AU COMBAT
LIGHT ARMORED VEHICLE;VEHICULE BLINDE LEGER
UTILITY VEHICLE;VEHICULE UTILITAIRE
BUS;BUS
SEMI;SEMI
SEMI LIGHT;SEMI LEGER
SEMI MEDIUM;SEMI MOYEN
SEMI HEAVY;SEMI-LOURD
LIMITED CROSS-COUNTRY TRUCK;CAMION TOUT-TERRAIN LIMITE
CROSS-COUNTRY TRUCK;CAMION TOUT TERRAIN
WATER CRAFT;BATEAU DE PLAISANCE
TOW TRUCK;CAMION DE REMORQUAGE
TOW TRUCK LIGHT;DEPANNEUSE LEGERE
TOW TRUCK HEAVY;DEPANNEUSE LOURDE
AMBULANCE;AMBULANCE
ARMORED AMBULANCE;AMBULANCE BLINDEE
ENGINEER VEHICLE;VEHICULE DU GENIE
BRIDGE;PONT
EARTHMOVER;VEHICULE D'ENFOUISSEMENT DE TERRE
CONSTRUCTION VEHICLE;VEHICULE DE CONSTRUCTION
MINE LAYING VEHICLE;VEHICULE DE POSE DE MINES
ARMORED CARRIER WITH VOLCANO;VEHICULE BLINDE AVEC VOLCAN
TRUCK MOUNTED WITH VOLCANO;CAMION AVEC VOLCAN
MINE CLEARING VEHICLE;VEHICULE DE DEMINAGE
ARMORED MOUNTED MINE CLEARING VEHICLE;VEHICULE BLINDE DE DEMINAGE MONTE
TRAILER MOUNTED MINE CLEARING VEHICLE;VEHICULE DE DEMINAGE MONTE SUR REMORQUE
DOZER;DOZER
ARMORED DOZER;DOZER ARMORE
ARMORED ASSAULT;ASSAUT BLINDE
ARMORED ENGINEER RECON VEHICLE (AERV);VEHICULE BLINDE DE RECONNAISSANCE DU GENIE (AERV)
BACKHOE;PELLE ARRIERE
FERRY TRANSPORTER;TRANSBORDEUR
TRAIN LOCOMOTIVE;LOCOMOTIVE DE TRAIN
CIVILIAN VEHICLE;VEHICULE CIVIL
AUTOMOBILE;AUTOMOBILE
COMPACT AUTOMOBILE;AUTOMOBILE COMPACTE
MIDSIZE AUTOMOBILE;AUTOMOBILE DE TAILLE MOYENNE
SEDAN AUTOMOBILE;BERLINE AUTOMOBILE
OPEN-BED TRUCK;CAMIONNETTE A PLATEAU OUVERT
PICKUP OPEN-BED TRUCK;CAMIONNETTE A PLATEAU OUVERT
SMALL OPEN-BED TRUCK;PETIT CAMION A PLATEAU OUVERT
LARGE OPEN-BED TRUCK;GRAND CAMION A PLATEAU OUVERT
MULTIPLE PASSENGER VEHICLE;VEHICULE A PASSAGERS MULTIPLES
VAN MULTIPLE PASSENGER VEHICLE;FOURGONNETTE VEHICULE A PASSAGERS MULTIPLES
SMALL BUS MULTIPLE PASSENGER VEHICLE;PETIT AUTOBUS VEHICULE A PASSAGERS MULTIPLES
LARGE BUS MULTIPLE PASSENGER VEHICLE;GRAND AUTOBUS VEHICULE A PASSAGERS MULTIPLES
UTILITY VEHICLE;VEHICULE UTILITAIRE
SPORT UTILITY VEHICLE (SUV), UTILITY VEHICLE;VEHICULE UTILITAIRE SPORT (SUV), VEHICULE UTILITAIRE
SMALL BOX TRUCK, UTILITY VEHICLE;PETITE CAMIONNETTE, VEHICULE UTILITAIRE
LARGE BOX TRUCK, UTILITY VEHICLE;GRAND CAMION-CAISSE, VEHICULE UTILITAIRE
JEEP TYPE VEHICLE;VEHICULE DE TYPE JEEP
SMALL/LIGHT JEEP TYPE VEHICLE;VEHICULE DE TYPE JEEP PETIT/LEGER
MEDIUM JEEP TYPE VEHICLE;VEHICULE DE TYPE JEEP MOYEN
LARGE/HEAVY JEEP TYPE VEHICLE;GRAND VEHICULE LOURD DE TYPE JEEP
TRACTOR TRAILER TRUCK WITH BOX TRAILER;CAMION SEMI-REMORQUE AVEC REMORQUE A CAISSE
SMALL/LIGHT BOX TRAILER, TRACTOR TRAILER TRUCK;PETITE/REMORQUE LEGERE, CAMION REMORQUE TRACTEUR
MEDIUM BOX TRAILER, TRACTOR TRAILER TRUCK;SEMI-REMORQUE A CAISSE MOYENNE, CAMION-REMORQUE
LARGE/HEAVY BOX TRAILER, TRACTOR TRAILER TRUCK;REMORQUE A CAISSE LARGE/LOURDE, CAMION REMORQUE TRACTEUR
TRACTOR TRAILER TRUCK WITH FLATBED TRAILER;CAMION-REMORQUE AVEC REMORQUE A PLATEAU
SMALL/LIGHT FLATBED TRAILER, TRACTOR TRAILER TRUCK;PETITE/LEGERE REMORQUE A PLATEAU, CAMION REMORQUE TRACTEUR
MEDIUM FLATBED TRAILER, TRACTOR TRAILER TRUCK;SEMI-REMORQUE A PLATEAU MOYEN, CAMION REMORQUE TRACTEUR
LARGE/HEAVY FLATBED TRAILER, TRACTOR TRAILER TRUCK;REMORQUE A PLATEAU GRANDE/LOURDE, CAMION TRACTEUR A REMORQUE
PACK ANIMAL(S);ANIMAL(S) DE BAT
MISSILE SUPPORT VEHICLE;VEHICULE DE SOUTIEN AUX MISSILES
MISSILE SUPPORT VEHICLE TRANSLOADER;TRANSBORDEUR DE VEHICULE DE SOUTIEN AUX MISSILES
MISSILE SUPPORT VEHICLE TRANSPORTER;TRANSPORTEUR DE VEHICULE DE SOUTIEN AUX MISSILES
MISSILE SUPPORT VEHICLE CRANE/LOADING DEVICE;GRUE/APPAREIL DE CHARGEMENT DE VEHICULE DE SOUTIEN AUX MISSILES
MISSILE SUPPORT VEHICLE PROPELLANT TRANSPORTER;VEHICULE D'APPUI AUX MISSILES TRANSPORTEUR DE PROPERGOL
MISSILE SUPPORT VEHICLE WARHEAD TRANSPORTER;TRANSPORTEUR D'OGIVES DE VEHICULE DE SOUTIEN AUX MISSILES
SENSOR;DETECTEUR
RADAR;RADAR
EMPLACED SENSOR;CAPTEUR PLACE
SPECIAL EQUIPMENT;EQUIPEMENT SPECIAL
IMPROVISED EXPLOSIVE DEVICE;DISPOSITIF EXPLOSIF IMPROVISE
LASER;LASER
CBRN EQUIPMENT;EQUIPEMENT CBRN
FLAME THROWER;LANCE-FLAMMES
LAND MINES;MINES TERRESTRES
CLAYMORE;CLAYMORE
LESS THAN LETHAL;MOINS QUE MORTEL
INSTALLATION;INSTALLATION
RAW MATERIAL PRODUCTION/STORAGE;PRODUCTION/STOCKAGE DE MATIERES PREMIERES
MINE;MINE
PETROLEUM/GAS/OIL;PETROLE/GAZ/PETROLE
CBRN;NRBC
BIOLOGICAL;BIOLOGIQUE
CHEMICAL;CHIMIQUE
NUCLEAR;NUCLEAIRE
PROCESSING FACILITY;INSTALLATION DE TRAITEMENT
DECONTAMINATION;DECONTAMINATION
EQUIPMENT MANUFACTURE;FABRICATION D'EQUIPEMENTS
SERVICE, RESEARCH, UTILITY FACILITY;INSTALLATION DE SERVICES, DE RECHERCHE, D'UTILITE PUBLIQUE
TECHNOLOGICAL RESEARCH FACILITY;INSTALLATION DE RECHERCHE TECHNOLOGIQUE
TELECOMMUNICATIONS FACILITY;INSTALLATION DE TELECOMMUNICATIONS
ELECTRIC POWER FACILITY;INSTALLATION DE PRODUCTION D'ENERGIE ELECTRIQUE
NUCLEAR PLANT;CENTRALE NUCLEAIRE
DAM;DAM
FOSSIL FUEL;COMBUSTIBLES FOSSILES
PUBLIC WATER SERVICES;SERVICES PUBLICS DE L'EAU
MILITARY MATERIEL FACILITY;INSTALLATION DE MATERIEL MILITAIRE
NUCLEAR ENERGY;ENERGIE NUCLEAIRE
ATOMIC ENERGY REACTOR;REACTEUR D'ENERGIE ATOMIQUE
NUCLEAR MATERIAL PRODUCTION;PRODUCTION DE MATIERES NUCLEAIRES
WEAPONS GRADE;GRADE D'ARMES
NUCLEAR MATERIAL STORAGE;STOCKAGE DE MATIERES NUCLEAIRES
AIRCRAFT PRODUCTION & ASSEMBLY;PRODUCTION ET ASSEMBLAGE D'AVIONS
AMMUNITION AND EXPLOSIVES PRODUCTION;PRODUCTION DE MUNITIONS ET D'EXPLOSIFS
ARMAMENT PRODUCTION;PRODUCTION D'ARMEMENT
MILITARY VEHICLE PRODUCTION;PRODUCTION DE VEHICULES MILITAIRES
ENGINEERING EQUIPMENT PRODUCTION;PRODUCTION D'EQUIPEMENTS D'INGENIERIE
BRIDGE;PONT
CHEMICAL & BIOLOGICAL WARFARE PRODUCTION;PRODUCTION DE GUERRE CHIMIQUE ET BIOLOGIQUE
SHIP CONSTRUCTION;CONSTRUCTION DE NAVIRES
MISSILE & SPACE SYSTEM PRODUCTION;PRODUCTION DE MISSILES ET DE SYSTEMES SPATIAUX
GOVERNMENT LEADERSHIP;LEADERSHIP GOUVERNEMENTAL
MILITARY BASE/FACILITY;BASE MILITAIRE/INSTALLATION
AIRPORT/AIRBASE;AEROPORT/BASE AERIENNE
SEAPORT/NAVAL BASE;PORT MARITIME/BASE NAVALE
TRANSPORT FACILITY;INSTALLATION DE TRANSPORT
MEDICAL FACILITY;INSTALLATION MEDICALE
HOSPITAL;HOPITAL
SEA SURFACE TRACK;PISTE DE LA SURFACE DE LA MER
COMBATANT;COMBATANT
LINE;LIGNE
CARRIER;PORTEUR
BATTLESHIP;BATTLESHIP
CRUISER;CRUISER
DESTROYER;DESTROYER
FRIGATE/CORVETTE;FREGATE/CORVETTE
LITTORAL COMBATANT;COMBATTANT LITTORAL
ANTISUBMARINE WARFARE MISSION PACKAGE;ENSEMBLE DE MISSIONS DE LUTTE ANTI-SOUS-MARINE
MINE WARFARE MISSION PACKAGE;ENSEMBLE DE MISSIONS DE GUERRE DES MINES
SURFACE WARFARE (SUW) MISSION PACKAGE;ENSEMBLE DE MISSIONS DE GUERRE DE SURFACE (SUW)
AMPHIBIOUS WARFARE SHIP;NAVIRE DE GUERRE AMPHIBIE
ASSAULT VESSEL;VAISSEAU D'ASSAUT
LANDING SHIP;NAVIRE DE DEBARQUEMENT
LANDING SHIP MEDIUM;NAVIRE DE DEBARQUEMENT MOYEN
LANDING SHIP TANK;NAVIRE DE DEBARQUEMENT CHAR
LANDING CRAFT;BATEAU DE DEBARQUEMENT
MINE WARFARE VESSEL;NAVIRE DE GUERRE DES MINES
MINELAYER;MINELAYER
MINESWEEPER;MINESWEEPER
MINEHUNTER;MINEHUNTER
MCM SUPPORT;SUPPORT MCM
PATROL;PATROL
ANTISUBMARINE WARFARE;GUERRE ANTI-SOUS-MARINE
ANTISURFACE WARFARE;GUERRE ANTISURFACE
ANTISHIP MISSILE PATROL CRAFT;PATROUILLEUR DE MISSILES ANTI-NAVIRES
TORPEDO PATROL CRAFT;PATROUILLEUR DE TORPILLES
GUN PATROL CRAFT;PATROUILLEUR A CANON
HOVERCRAFT;SURVEILLANT
NAVY GROUP;GROUPE NAVAL
NAVY TASK FORCE;GROUPE D'INTERVENTION DE LA MARINE
NAVY TASK GROUP;GROUPE OPERATIONNEL DE LA MARINE
NAVY TASK UNIT;UNITE OPERATIONNELLE DE LA MARINE
CONVOY;CONVOYAGE
SURFACE DECOY;DECOUVERTE DE SURFACE
UNMANNED SURFACE VEHICLE;VEHICULE DE SURFACE SANS PILOTE
MINE COUNTERMEASURES SURFACE DRONE;DRONE DE SURFACE DE LUTTE CONTRE LES MINES
ANTISUBMARINE WARFARE SURFACE DRONE;DRONE DE SURFACE DE LUTTE ANTI-SOUS-MARINE
ANTISURFACE WARFARE SURFACE DRONE;DRONE DE SURFACE DE LUTTE ANTI-SURFACE
REMOTE MULTIMISSION VEHICLE;VEHICULE MULTIMISSION TELECOMMANDE
NONCOMBATANT;NON COMBATANT
UNDERWAY REPLENISHMENT;RAVITAILLEMENT EN COURS DE ROUTE
FLEET SUPPORT;SOUTIEN DE LA FLOTTE
INTELLIGENCE;INTELLIGENCE
SERVICE & SUPPORT HARBOR;SERVICE & SUPPORT HARBOR
HOSPITAL SHIP;NAVIRE-HOPITAL
HOVERCRAFT;HAUT-PARCOURS
NON-MILITARY;NON-MILITAIRE
MERCHANT;MARCHAND
CARGO;CARGO
ROLL ON/ROLL OFF;ROLL ON/ROLL OFF
OILER/TANKER;PETROLIER/TANKER
TUG;TUG
FERRY;FERRY
PASSENGER;PASSAGER
HAZARDOUS MATERIALS (HAZMAT);MATIERES DANGEREUSES (HAZMAT)
TOWING VESSEL;BATEAU DE REMORQUAGE
FISHING;PECHE
DRIFTER;CONDUCTEUR
DREDGE;GRUE
TRAWLER;TRAWLER
LEISURE CRAFT;BATEAU DE LOISIR
LAW ENFORCEMENT VESSEL;BATEAU DES FORCES DE L'ORDRE
HOVERCRAFT;HOVERCRAFT
FAST RECREACTIONAL CRAFT;EMBARCATION RAPIDE DE LOISIR
RIGID-HULL INFLATABLE BOAT;BATEAU GONFLABLE A COQUE RIGIDE
SPEED BOAT;BATEAU DE VITESSE
PERSONAL WATERCRAFT;VEHICULE NAUTIQUE PERSONNEL
OWN TRACK;PISTE PROPRE
SUBSURFACE TRACK;PISTE SOUTERRAINE
SUBMARINE;SOUS-MARIN
SURFACED SUBMARINE;SOUS-MARIN DE SURFACE
BOTTOMED;ENFONCE
CERTAIN SUBMARINE;CERTAIN SOUS-MARIN
NONSUBMARINE;NONSUBMARINE
NUCLEAR PROPULSION;PROPULSION NUCLEAIRE
SURFACED NUCLEAR PROPULSION SUBMARINE;SOUS-MARIN DE SURFACE A PROPULSION NUCLEAIRE
ATTACK SUBMARINE (SSN);SOUS-MARIN D'ATTAQUE (SSN)
MISSILE SUBMARINE (TYPE UNKNOWN);SOUS-MARIN LANCEUR DE MISSILES (TYPE INCONNU)
GUIDED MISSILE SUBMARINE (SSGN);SOUS-MARIN LANCEUR D'ENGINS (SSGN)
BALLISTIC MISSILE SUBMARINE (SSBN);SOUS-MARIN LANCEUR D'ENGINS (SSBN)
CONVENTIONAL PROPULSION;PROPULSION CONVENTIONNELLE
SURFACED CONVENTIONAL PROPULSION SUBMARINE;SOUS-MARIN DE SURFACE A PROPULSION CONVENTIONNELLE
ATTACK SUBMARINE (SS);SOUS-MARIN D'ATTAQUE (SS)
MISSILE SUBMARINE (TYPE UNKNOWN);SOUS-MARIN LANCEUR D'ENGINS (TYPE INCONNU)
GUIDED MISSILE SUBMARINE (SSG);SOUS-MARIN LANCEUR D'ENGINS (SSG)
BALLISTIC MISSILE SUBMARINE (SSB);SOUS-MARIN LANCEUR D'ENGINS (SSB)
OTHER SUBMERSIBLE;AUTRE SUBMERSIBLE
SURFACED OTHER SUBMERSIBLE;AUTRE SUBMERSIBLE EN SURFACE
UNMANNED UNDERWATER VEHICLE (UUV);VEHICULE SOUS-MARIN SANS PILOTE (UUV)
MINE WARFARE SUBSURFACE DRONE;DRONE SOUS-MARIN DE GUERRE DES MINES
ANTISUBMARINE WARFARE SUBSURFACE DRONE;DRONE SOUS-MARIN DE LUTTE ANTI-SOUS-MARINE
ANTISURFACE WARFARE SUBSURFACE DRONE;DRONE SOUS-MARIN DE LUTTE ANTI-SOUS-MARINE
POSSIBLE SUBMARINE 1;EVENTUEL SOUS-MARIN 1
POSSIBLE SUBMARINE 2;SOUS-MARIN POSSIBLE 2
POSSIBLE SUBMARINE 3;SOUS-MARIN POSSIBLE 3
POSSIBLE SUBMARINE 4;SOUS-MARIN POSSIBLE 4
PROBABLE SUBMARINE;SOUS-MARIN PROBABLE
SNORKELING SUBMARINE;SOUS-MARIN DE PLONGEE EN APNEE
UNDERWATER WEAPON;ARME SOUS-MARINE
TORPEDO;TORPEDO
SEA MINE;MINE MARINE
SEA MINE NEUTRALIZED;MINE MARINE NEUTRALISEE
SEA MINE (GROUND);MINE MARINE (SOL)
SEA MINE (GROUND) NEUTRALIZED;MINE MARINE (SOL) NEUTRALISEE
GROUND (BOTTOM) EXERCISE MINE;MINE D'EXERCICE AU SOL (FOND)
GROUND (BOTTOM) MINE-LIKE ECHO (MILEC);SOL (FOND) ECHO DE TYPE MINE (MILEC)
GROUND (BOTTOM) MINE-LIKE CONTACT (MILCO);SOL (BAS) CONTACT DE TYPE MINE (MILCO)
GROUND (BOTTOM) NEGATIVE REACQUISITION;SOL (BAS) REACQUISITION NEGATIVE
GROUND (BOTTOM) NON-MINE MINE-LIKE CONTACT;SOL (BAS) NON-MINE CONTACT DE TYPE MINE
SEA MINE (MOORED);MINE MARINE (AMARREE)
SEA MINE (MOORED) NEUTRALIZED;MINE MARINE (AMARREE) NEUTRALISEE
MOORED EXERCISE MINE;MINE D'EXERCICE AMARREE
MOORED MINE-LIKE ECHO;ECHO DE MINE AMARRE
MOORED MINE-LIKE CONTACT;CONTACT AVEC UNE MINE AMARREE
MOORED NEGATIVE REACQUISITION;MINE (AMARREE) - ECHO SEMBLABLE A UNE MINE
MOORED NON-MINE MINE-LIKE OBJECT;OBJET AMARRE NON MINIER SEMBLABLE A UNE MINE
SEA MINE (FLOATING);MINE MARINE (FLOTTANTE)
SEA MINE (FLOATING) NEUTRALIZED;MINE MARINE (FLOTTANTE) NEUTRALISEE
FLOATING EXERCISE MINE;MINE D'EXERCICE FLOTTANTE
FLOATING MINE-LIKE ECHO (MILEC);ECHO FLOTTANT DE TYPE MINE (MILEC)
FLOATING MINE-LIKE CONTACT (MILCO);CONTACT FLOTTANT DE TYPE MINE (MILCO)
FLOATING NEGATIVE REACQUISITION;REACQUISITION NEGATIVE FLOTTANTE
FLOATING NON-MINE MINE-LIKE CONTACT;CONTACT FLOTTANT NON MINIER DE TYPE MINE
SEA MINE (OTHER POSITION);MINE MARINE (AUTRE POSITION)
SEA MINE (OTHER POSITION) NEUTRALIZED;MINE MARINE (AUTRE POSITION) NEUTRALISEE
GENERAL EXERCISE MINE;MINE D'EXERCICE GENERALE
GENERAL MINE-LIKE ECHO (MILEC);ECHO GENERAL DE TYPE MINE (MILEC)
GENERAL MINE ANCHOR;ANCRE DE MINE GENERALE
GENERAL MINE-LIKE CONTACT (MILCO);CONTACT GENERAL DE TYPE MINE (MILCO)
GENERAL NEGATIVE REACQUISITION;REACQUISITION NEGATIVE GENERALE
GENERAL OBSTRUCTOR;OBSTRUCTEUR GENERAL
GENERAL NEUTRALIZED OBSTRUCTOR;OBSTRUCTEUR GENERAL NEUTRALISE
GENERAL NON-MINE MINE-LIKE OBJECT;OBJET GENERAL NON MINIER SEMBLABLE A UNE MINE
RISING MINE;MINE ASCENDANTE
RISING EXERCISE MINE;MINE D'EXERCICE MONTANTE
RISING NEUTRALIZED MINE;MINE ASCENDANTE NEUTRALISEE
UNDERWATER DECOY;LEURRE SOUS-MARIN
SEA MINE DECOY;LEURRE DE MINE SOUS-MARINE
GROUND (BOTTOM) DECOY;LEURRE AU SOL
MOORED DECOY;LEURRE AU SOL
NON-SUBMARINE;NON-SUBMARINE
DIVER;PLONGEUR
ENVIRONMENTAL REPORT LOCATION;EMPLACEMENT DU RAPPORT ENVIRONNEMENTAL
DIVE REPORT LOCATION;EMPLACEMENT DU RAPPORT DE PLONGEE
UNEXPLODED ORDNANCE AREA;ZONE DE MUNITIONS NON EXPLOSEES
SPECIAL OPERATIONS FORCES (SOF) UNIT;UNITE DES FORCES D'OPERATIONS SPECIALES (SOF)
SOF UNIT AVIATION;UNITE SOF AVIATION
SOF UNIT FIXED WING;UNITE SOF AILE FIXE
SOF UNIT ATTACK;UNITE SOF ATTAQUE
SOF UNIT REFUEL;SOF UNIT REFUEL
SOF UNIT UTILITY;SOF UNIT UTILITY
SOF UNIT UTILITY (LIGHT);SOF UNIT UTILITY (LIGHT)
SOF UNIT UTILITY (MEDIUM);SOF UNIT UTILITY (MEDIUM)
