2525Charlie1stTen;2525Charlie;2525DeltaSymbolSet;2525DeltaEntity;2525DeltaMod1;2525DeltaMod2;2525DeltaName;2525DeltaMod1Name;2525DeltaMod2Name;DeltaToCharlie;Remarks
S*GPUSTRT-;SPGPUSTRT------;10;163098;00;00;Sustainment : Railhead : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSTRT------;pass
S*GPUSAR--;SPGPUSAR-------;10;163100;00;00;Sustainment : Religious Support;Unspecified;Unspecified;SPGPUSAR-------;pass
S*GPUSARC-;SPGPUSARC------;10;163197;00;00;Sustainment : Religious Support : Corps Support;Unspecified;Unspecified;SPGPUSARC------;pass
S*GPUSART-;SPGPUSART------;10;163198;00;00;Sustainment : Religious Support : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSART------;pass
S*GPUSAX--;SPGPUSAX-------;10;163200;00;00;Sustainment : Replacement Holding Unit;Unspecified;Unspecified;SPGPUSAX-------;pass
S*GPUSAXC-;SPGPUSAXC------;10;163297;00;00;Sustainment : Replacement Holding Unit : Corps Support;Unspecified;Unspecified;SPGPUSAXC------;pass
S*GPUSAXT-;SPGPUSAXT------;10;163298;00;00;Sustainment : Replacement Holding Unit : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSAXT------;pass
S*GPUSTS--;SPGPUSTS-------;10;163300;00;00;Sustainment : Sea Port of Debarkation/Sea Port of Embarkation;Unspecified;Unspecified;SPGPUSTS-------;pass
S*GPUSTSC-;SPGPUSTSC------;10;163397;00;00;Sustainment : Sea Port of Debarkation/Sea Port of Embarkation : Corps Support;Unspecified;Unspecified;SPGPUSTSC------;pass
S*GPUSTST-;SPGPUSTST------;10;163398;00;00;Sustainment : Sea Port of Debarkation/Sea Port of Embarkation : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSTST------;pass
S*GPUSS---;SPGPUSS--------;10;163400;00;00;Sustainment : Supply : Unknown;Unspecified;Unspecified;SPGPUSS--------;pass
S*GPUSSC--;SPGPUSSC-------;10;163497;00;00;Sustainment : Supply : Corps Support;Unspecified;Unspecified;SPGPUSSC-------;pass
S*GPUSST--;SPGPUSST-------;10;163498;00;00;Sustainment : Supply : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSST-------;pass
S*GPUSAPM-;SPGPUSAPM------;10;163500;00;00;Sustainment : Joint Information Bureau;Unspecified;Unspecified;SPGPUSAPM------;pass
S*GPUSAPMC;SPGPUSAPMC-----;10;163597;00;00;Sustainment : Joint Information Bureau : Corps Support;Unspecified;Unspecified;SPGPUSAPMC-----;pass
S*GPUSAPMT;SPGPUSAPMT-----;10;163598;00;00;Sustainment : Joint Information Bureau : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSAPMT-----;pass
S*GPUST---;SPGPUST--------;10;163600;00;00;Sustainment : Transportation;Unspecified;Unspecified;SPGPUST--------;pass
S*GPUSTI--;SPGPUSTI-------;10;163600;34;00;Sustainment : Transportation;Capability : Missile;Unspecified;SPGPUSTI-------;pass
S*GPUSTM--;SPGPUSTM-------;10;163600;38;00;Sustainment : Transportation;Capability : Movement Control Center;Unspecified;SPGPUSTM-------;pass
S*GPUSTC--;SPGPUSTC-------;10;163697;00;00;Sustainment : Transportation : Corps Support;Unspecified;Unspecified;SPGPUSTC-------;pass
S*GPUSTT--;SPGPUSTT-------;10;163698;00;00;Sustainment : Transportation : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSTT-------;pass
S*GPUSTIC-;SPGPUSTIC------;10;163697;34;00;Sustainment : Transportation : Corps Support;Capability : Missile;Unspecified;SPGPUSTIC------;pass
S*GPUSTIT-;SPGPUSTIT------;10;163698;34;00;Sustainment : Transportation : Theater/Echelons Above Corps Support;Capability : Missile;Unspecified;SPGPUSTIT------;pass
S*GPUSTMC-;SPGPUSTMC------;10;163697;38;00;Sustainment : Transportation : Corps Support;Capability : Movement Control Center;Unspecified;SPGPUSTMC------;pass
S*GPUSTMT-;SPGPUSTMT------;10;163698;38;00;Sustainment : Transportation : Theater/Echelons Above Corps Support;Capability : Movement Control Center;Unspecified;SPGPUSTMT------;pass
S*GPUSS1--;SPGPUSS1-------;10;163700;00;00;Sustainment : US Supply Class I : Unknown;Unspecified;Unspecified;SPGPUSS1-------;pass
S*GPUSS1C-;SPGPUSS1C------;10;163797;00;00;Sustainment : US Supply Class I : Corps Support;Unspecified;Unspecified;SPGPUSS1C------;pass
S*GPUSS1T-;SPGPUSS1T------;10;163798;00;00;Sustainment : US Supply Class I : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSS1T------;pass
S*GPUSS2--;SPGPUSS2-------;10;163800;00;00;Sustainment : US Supply Class II : Unknown;Unspecified;Unspecified;SPGPUSS2-------;pass
S*GPUSS2C-;SPGPUSS2C------;10;163897;00;00;Sustainment : US Supply Class II : Corps Support;Unspecified;Unspecified;SPGPUSS2C------;pass
S*GPUSS2T-;SPGPUSS2T------;10;163898;00;00;Sustainment : US Supply Class II : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSS2T------;pass
S*GPUSS3--;SPGPUSS3-------;10;163900;00;00;Sustainment : US Supply Class III : Unknown;Unspecified;Unspecified;SPGPUSS3-------;pass
S*GPUSS3A-;SPGPUSS3A------;10;163900;78;00;Sustainment : US Supply Class III : Unknown;Capability : Aviation;Unspecified;SPGPUSS3A------;pass
S*GPUSS3AC;SPGPUSS3AC-----;98;100000;00;00;;;;;Retired
S*GPUSS3AT;SPGPUSS3AT-----;98;100000;00;00;;;;;Retired
S*GPUSS3C-;SPGPUSS3C------;10;163997;00;00;Sustainment : US Supply Class III : Corps Support;Unspecified;Unspecified;SPGPUSS3C------;pass
S*GPUSS3T-;SPGPUSS3T------;10;163998;00;00;Sustainment : US Supply Class III : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSS3T------;pass
S*GPUSS4--;SPGPUSS4-------;10;164000;00;00;Sustainment : US Supply Class IV : Unknown;Unspecified;Unspecified;SPGPUSS4-------;pass
S*GPUSS4C-;SPGPUSS4C------;10;164097;00;00;Sustainment : US Supply Class IV : Corps Support;Unspecified;Unspecified;SPGPUSS4C------;pass
S*GPUSS4T-;SPGPUSS4T------;10;164098;00;00;Sustainment : US Supply Class IV : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSS4T------;pass
S*GPUSS5--;SPGPUSS5-------;10;164100;00;00;Sustainment : US Supply Class V : Unknown;Unspecified;Unspecified;SPGPUSS5-------;pass
S*GPUSS5C-;SPGPUSS5C------;10;164197;00;00;Sustainment : US Supply Class V : Corps Support;Unspecified;Unspecified;SPGPUSS5C------;pass
S*GPUSS5T-;SPGPUSS5T------;10;164198;00;00;Sustainment : US Supply Class V : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSS5T------;pass
S*GPUSS6--;SPGPUSS6-------;10;164200;00;00;Sustainment : US Supply Class VI : Unknown;Unspecified;Unspecified;SPGPUSS6-------;pass
S*GPUSS6C-;SPGPUSS6C------;10;164297;00;00;Sustainment : US Supply Class VI : Corps Support;Unspecified;Unspecified;SPGPUSS6C------;pass
S*GPUSS6T-;SPGPUSS6T------;10;164298;00;00;Sustainment : US Supply Class VI : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSS6T------;pass
S*GPUSS7--;SPGPUSS7-------;10;164300;00;00;Sustainment : US Supply Class VII : Unknown;Unspecified;Unspecified;SPGPUSS7-------;pass
S*GPUSS7C-;SPGPUSS7C------;10;164397;00;00;Sustainment : US Supply Class VII : Corps Support;Unspecified;Unspecified;SPGPUSS7C------;pass
S*GPUSS7T-;SPGPUSS7T------;10;164398;00;00;Sustainment : US Supply Class VII : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSS7T------;pass
S*GPUSS8--;SPGPUSS8-------;10;164400;00;00;Sustainment : US Supply Class VIII : Unknown;Unspecified;Unspecified;SPGPUSS8-------;pass
S*GPUSS8C-;SPGPUSS8C------;10;164497;00;00;Sustainment : US Supply Class VIII : Corps Support;Unspecified;Unspecified;SPGPUSS8C------;pass
S*GPUSS8T-;SPGPUSS8T------;10;164498;00;00;Sustainment : US Supply Class VIII : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSS8T------;pass
S*GPUSS9--;SPGPUSS9-------;10;164500;00;00;Sustainment : US Supply Class IX : Unknown;Unspecified;Unspecified;SPGPUSS9-------;pass
S*GPUSS9C-;SPGPUSS9C------;10;164597;00;00;Sustainment : US Supply Class IX : Corps Support;Unspecified;Unspecified;SPGPUSS9C------;pass
S*GPUSS9T-;SPGPUSS9T------;10;164598;00;00;Sustainment : US Supply Class IX : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSS9T------;pass
S*GPUSSX--;SPGPUSSX-------;10;164600;00;00;Sustainment : US Supply Class X : Unknown;Unspecified;Unspecified;SPGPUSSX-------;pass
S*GPUSSXC-;SPGPUSSXC------;10;164697;00;00;Sustainment : US Supply Class X : Corps Support;Unspecified;Unspecified;SPGPUSSXC------;pass
S*GPUSSXT-;SPGPUSSXT------;10;164698;00;00;Sustainment : US Supply Class X : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSSXT------;pass
S*GPUSSW--;SPGPUSSW-------;10;164700;00;00;Sustainment : Water;Unspecified;Unspecified;SPGPUSSW-------;pass
S*GPUSSWC-;SPGPUSSWC------;10;164797;00;00;Sustainment : Water : Corps Support;Unspecified;Unspecified;SPGPUSSWC------;pass
S*GPUSSWT-;SPGPUSSWT------;10;164798;00;00;Sustainment : Water : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSSWT------;pass
S*GPUSSWP-;SPGPUSSWP------;10;164800;00;00;Sustainment : Water Purification;Unspecified;Unspecified;SPGPUSSWP------;pass
S*GPUSSWPC;SPGPUSSWPC-----;10;164897;00;00;Sustainment : Water Purification : Corps Support;Unspecified;Unspecified;SPGPUSSWPC-----;pass
S*GPUSSWPT;SPGPUSSWPT-----;10;164898;00;00;Sustainment : Water Purification : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSSWPT-----;pass
S*GPUSAPB-;SPGPUSAPB------;10;164900;00;00;Sustainment : Broadcast;Unspecified;Unspecified;SPGPUSAPB------;pass
S*GPUSAPBC;SPGPUSAPBC-----;10;164997;00;00;Sustainment : Broadcast : Corps Support;Unspecified;Unspecified;SPGPUSAPBC-----;pass
S*GPUSAPBT;SPGPUSAPBT-----;10;164998;00;00;Sustainment : Broadcast : Theater/Echelons Above Corps Support;Unspecified;Unspecified;SPGPUSAPBT-----;pass
S*FPN-----;SPFPN----------;10;170100;63;00;Naval : Naval;Capability : Special Operations Forces (SOF);Unspecified;SPFPN----------;pass
E*OPBA----;EPOPBA---------;10;190000;00;00;Emergency Operation (Land Units);Unspecified;Unspecified;EPOPBA---------;pass
E*OPDA----;EPOPDA---------;10;200000;00;00;Law Enforcement (Land Units);Unspecified;Unspecified;EPOPDA---------;pass
EFOPDDA---;EFOPDDA--------;10;200100;00;00;Law Enforcement (Land Units) : ATF DOJ;Unspecified;Unspecified;EFOPDDA--------;pass
E*OPDEA---;EPOPDEA--------;10;200200;00;00;Law Enforcement (Land Units) : Border Patrol;Unspecified;Unspecified;EPOPDEA--------;pass
E*OPDFA---;EPOPDFA--------;10;200300;00;00;Law Enforcement (Land Units) : Customs Service;Unspecified;Unspecified;EPOPDFA--------;pass
EFOPDGA---;EFOPDGA--------;10;200400;00;00;Law Enforcement (Land Units) : DEA;Unspecified;Unspecified;EFOPDGA--------;pass
EFOPDHA---;EFOPDHA--------;10;200500;00;00;Law Enforcement (Land Units) : DOJ;Unspecified;Unspecified;EFOPDHA--------;pass
EFOPDIA---;EFOPDIA--------;10;200600;00;00;Law Enforcement (Land Units) : FBI;Unspecified;Unspecified;EFOPDIA--------;pass
S*GPUULC--;SPGPUULC-------;10;200700;00;00;Law Enforcement (Land Units) : Police;Unspecified;Unspecified;SPGPUULC-------;pass
EFOPDLA---;EFOPDLA--------;10;200900;00;00;Law Enforcement (Land Units) : US Secret Service (USSS);Unspecified;Unspecified;EFOPDLA--------;pass
EFOPDMA---;EFOPDMA--------;10;201000;00;00;Law Enforcement (Land Units) : TSA;Unspecified;Unspecified;EFOPDMA--------;pass
E*OPDNA---;EPOPDNA--------;10;201100;00;00;Law Enforcement (Land Units) : Coast Guard;Unspecified;Unspecified;EPOPDNA--------;pass
EFOPDOA---;EFOPDOA--------;10;201200;00;00;Law Enforcement (Land Units) : US Marshals Service;Unspecified;Unspecified;EFOPDOA--------;pass
S*GPUCII--;SPGPUCII-------;10;121105;00;00;Movement and Maneuver : Infantry : Infantry Fighting Vehicle : Unknown;Unspecified;Unspecified;SPGPUCII-------;pass
S*GPUCAWS-;SPGPUCAWS------;10;120400;01;51;Movement and Maneuver : Antitank/Antiarmor : Unknown;Mobility : Air Mobile/Air Assault (US Only);Mobility : Wheeled;SPGPUCAWS------;pass
S*GPUCFRMR;SPGPUCFRMR-----;10;130301;41;51;Fires : Field Artillery : Self-propelled;Capability : Multiple Rocket Launcher;Mobility : Wheeled;SPGPUCFRMR-----;pass
S*GPUCFRMT;SPGPUCFRMT-----;10;130302;41;47;Fires : Field Artillery : Target Acquisition : Unknown;Capability : Multiple Rocket Launcher;Mobility : Towed;SPGPUCFRMT-----;pass
S*GPU-----;SPGPU----------;10;000000;00;00;Unspecified;Unspecified;Unspecified;SPGP-----------;FAIL
S*GPUH----;SPGPUH---------;98;100000;00;00;;;;;Retired
S*GPUCDSC-;SPGPUCDSC------;10;111100;00;00;Command and Control : Tactical Satellite;Unspecified;Unspecified;SPGPUCDSC------;pass
S*GPUCDSS-;SPGPUCDSS------;98;100000;00;00;;;;;Retired
S*GPUCDSV-;SPGPUCDSV------;98;100000;00;00;;;;;Retired
S*GPUCDMLA;SPGPUCDMLA-----;98;100000;00;00;;;;;Retired
S*GPUCDHH-;SPGPUCDHH------;98;100000;00;00;;;;;Retired
S*GPUCDHP-;SPGPUCDHP------;98;100000;00;00;;;;;Retired
S*GPUCVR--;SPGPUCVR-------;98;100000;00;00;;;;;Retired
S*GPUCFHX-;SPGPUCFHX------;98;100000;00;00;;;;;Retired
S*GPUCFR--;SPGPUCFR-------;98;100000;00;00;;;;;Retired
S*GPUCFML-;SPGPUCFML------;98;100000;00;00;;;;;Retired
O*PP------;OPPP-----------;11;110300;00;00;Civilian (Land Civilian) : Individual;Unspecified;Unspecified;OPPP-----------;pass
O*OPK-----;OPOPK----------;11;110300;05;00;Civilian (Land Civilian) : Individual;Crime : Kidnapping (Land Civilian);Unspecified;OPOPK----------;pass
O*PPA-----;OPPPA----------;11;110300;13;00;Civilian (Land Civilian) : Individual;Organization : Leader or Leadership 1;Unspecified;OPPPA----------;pass
O*RP------;OPRP-----------;11;110300;07;00;Civilian (Land Civilian) : Individual;Crime : Rape (Land Civilian);Unspecified;OPRP-----------;pass
O*PPB-----;OPPPB----------;11;110300;18;00;Civilian (Land Civilian) : Individual;Organization : Targeted Individual or Organization;Unspecified;OPPPB----------;pass
O*PPC-----;OPPPC----------;11;110300;19;00;Civilian (Land Civilian) : Individual;Organization : Terrorist or Terrorist Organization;Unspecified;OPPPC----------;pass
O*GP------;OPGP-----------;11;110400;00;00;Civilian (Land Civilian) : Organization or Group;Unspecified;Unspecified;OPGP-----------;pass
O*IPR-----;OPIPR----------;11;110400;00;00;Civilian (Land Civilian) : Organization or Group;Unspecified;Unspecified;OPGP-----------;pass (multiple)
O*GPA-----;OPGPA----------;11;110400;09;00;Civilian (Land Civilian) : Organization or Group;Organization : Displaced Person(s)- Refugee(s) and Evacuee(s);Unspecified;OPGPA----------;pass
O*GPE-----;OPGPE----------;11;110400;10;00;Civilian (Land Civilian) : Organization or Group;Organization : Foreign Fighter(s);Unspecified;OPGPE----------;pass
O*GPF-----;OPGPF----------;11;110400;11;00;Civilian (Land Civilian) : Organization or Group;Organization : Gang Member or Gang;Unspecified;OPGPF----------;pass
O*GPB-----;OPGPB----------;11;110400;14;00;Civilian (Land Civilian) : Organization or Group;Organization : Nongovernmental Organization Member or Nongovernmental Organization;Unspecified;OPGPB----------;pass
O*GPD-----;OPGPD----------;11;110400;17;00;Civilian (Land Civilian) : Organization or Group;Organization : Religious or Religious Organization;Unspecified;OPGPD----------;pass
O*GPC-----;OPGPC----------;11;110400;18;00;Civilian (Land Civilian) : Organization or Group;Organization : Targeted Individual or Organization;Unspecified;OPGPC----------;pass
E*IPBD----;EPIPBD---------;11;110400;24;00;Civilian (Land Civilian) : Organization or Group;Crime : Loot;Unspecified;EPIPBD---------;pass
O*OPC-----;OPOPC----------;11;110900;00;00;Civilian (Land Civilian) : Composite Loss;Unspecified;Unspecified;OPOPC----------;pass
O*OPCB----;OPOPCB---------;11;110900;21;00;Civilian (Land Civilian) : Composite Loss;Composite Loss : Accident (Land Civilian);Unspecified;OPOPCB---------;pass
O*OPCA----;OPOPCA---------;11;110900;22;00;Civilian (Land Civilian) : Composite Loss;Composite Loss : Combat;Unspecified;OPOPCA---------;pass
O*OPCC----;OPOPCC---------;11;110900;23;00;Civilian (Land Civilian) : Composite Loss;Composite Loss : Other (Land Civilian);Unspecified;OPOPCC---------;pass
E*OPAA----;EPOPAA---------;11;111000;00;00;Civilian (Land Civilian) : Emergency Medical Operation;Unspecified;Unspecified;EPOPAA---------;pass
S*GPEWR---;SPGPEWR--------;15;110100;00;00;Weapon/Weapon System : Rifle;Unspecified;;SPGPEWR--------;pass
S*GPEWRR--;SPGPEWRR-------;15;110101;00;00;Weapon/Weapon System : Rifle : Single Shot Rifle;Unspecified;;SPGPEWRR-------;pass
S*GPEWRL--;SPGPEWRL-------;15;110102;00;00;Weapon/Weapon System : Rifle : Semiautomatic Rifle;Unspecified;;SPGPEWRL-------;pass
S*GPEWRH--;SPGPEWRH-------;15;110103;00;00;Weapon/Weapon System : Rifle : Automatic Rifle;Unspecified;;SPGPEWRH-------;pass
S*GPEWZ---;SPGPEWZ--------;15;110300;00;00;Weapon/Weapon System : Grenade Launcher;Unspecified;;SPGPEWZ--------;pass
S*GPEWZL--;SPGPEWZL-------;15;110301;00;00;Weapon/Weapon System : Grenade Launcher : Light;Unspecified;;SPGPEWZL-------;pass
S*GPEWZM--;SPGPEWZM-------;15;110302;00;00;Weapon/Weapon System : Grenade Launcher : Medium;Unspecified;;SPGPEWZM-------;pass
S*GPEWZH--;SPGPEWZH-------;15;110303;00;00;Weapon/Weapon System : Grenade Launcher : Heavy;Unspecified;;SPGPEWZH-------;pass
S*GPEXF---;SPGPEXF--------;15;110400;00;00;Weapon/Weapon System : Flame Thrower;Unspecified;;SPGPEXF--------;pass
S*GPEWA---;SPGPEWA--------;15;110500;00;00;Weapon/Weapon System : Air Defense Gun;Unspecified;;SPGPEWA--------;pass
S*GPEWAL--;SPGPEWAL-------;15;110501;00;00;Weapon/Weapon System : Air Defense Gun : Light;Unspecified;;SPGPEWAL-------;pass
S*GPEWAM--;SPGPEWAM-------;15;110502;00;00;Weapon/Weapon System : Air Defense Gun : Medium;Unspecified;;SPGPEWAM-------;pass
S*GPEWAH--;SPGPEWAH-------;15;110503;00;00;Weapon/Weapon System : Air Defense Gun : Heavy;Unspecified;;SPGPEWAH-------;pass
S*GPEWG---;SPGPEWG--------;15;110600;00;00;Weapon/Weapon System : Antitank Gun;Unspecified;;SPGPEWG--------;pass
S*GPEWGL--;SPGPEWGL-------;15;110601;00;00;Weapon/Weapon System : Antitank Gun : Light;Unspecified;;SPGPEWGL-------;pass
S*GPEWGM--;SPGPEWGM-------;15;110602;00;00;Weapon/Weapon System : Antitank Gun : Medium;Unspecified;;SPGPEWGM-------;pass
S*GPEWGH--;SPGPEWGH-------;15;110603;00;00;Weapon/Weapon System : Antitank Gun : Heavy;Unspecified;;SPGPEWGH-------;pass
S*GPEWD---;SPGPEWD--------;15;110700;00;00;Weapon/Weapon System : Direct Fire Gun;Unspecified;;SPGPEWD--------;pass
S*GPEWDL--;SPGPEWDL-------;15;110701;00;00;Weapon/Weapon System : Direct Fire Gun : Light;Unspecified;;SPGPEWDL-------;pass
S*GPEWDLS-;SPGPEWDLS------;98;100000;00;00;;;;;Retired
S*GPEWDM--;SPGPEWDM-------;15;110702;00;00;Weapon/Weapon System : Direct Fire Gun : Medium;Unspecified;;SPGPEWDM-------;pass
S*GPEWDMS-;SPGPEWDMS------;98;100000;00;00;;;;;Retired
S*GPEWDH--;SPGPEWDH-------;15;110703;00;00;Weapon/Weapon System : Direct Fire Gun : Heavy;Unspecified;;SPGPEWDH-------;pass
S*GPEWDHS-;SPGPEWDHS------;98;100000;00;00;;;;;Retired
S*GPEWGR--;SPGPEWGR-------;15;110800;00;00;Weapon/Weapon System : Recoilless Gun;Unspecified;;SPGPEWGR-------;pass
S*GPEWH---;SPGPEWH--------;15;110900;00;00;Weapon/Weapon System : Howitzer;Unspecified;;SPGPEWH--------;pass
S*GPEWHL--;SPGPEWHL-------;15;110901;00;00;Weapon/Weapon System : Howitzer : Light;Unspecified;;SPGPEWHL-------;pass
S*GPEWHLS-;SPGPEWHLS------;98;100000;00;00;;;;;Retired
S*GPEWHM--;SPGPEWHM-------;15;110902;00;00;Weapon/Weapon System : Howitzer : Medium;Unspecified;;SPGPEWHM-------;pass
S*GPEWHMS-;SPGPEWHMS------;98;100000;00;00;;;;;Retired
S*GPEWHH--;SPGPEWHH-------;15;110903;00;00;Weapon/Weapon System : Howitzer : Heavy;Unspecified;;SPGPEWHH-------;pass
S*GPEWHHS-;SPGPEWHHS------;98;100000;00;00;;;;;Retired
S*GPEWM---;SPGPEWM--------;15;111000;00;00;Weapon/Weapon System : Missile Launcher;Unspecified;;SPGPEWM--------;pass
S*GPEWMA--;SPGPEWMA-------;15;111100;00;00;Weapon/Weapon System : Air Defense Missile Launcher;Unspecified;;SPGPEWMA-------;pass
S*GPEWMAT-;SPGPEWMAT------;15;111100;00;00;Weapon/Weapon System : Air Defense Missile Launcher;Unspecified;;SPGPEWMA-------;pass (multiple)
S*GPEWMATR;SPGPEWMATR-----;98;100000;00;00;;;;;Retired
S*GPEWMATE;SPGPEWMATE-----;98;100000;00;00;;;;;Retired
S*GPEWMAS-;SPGPEWMAS------;15;111101;00;00;Weapon/Weapon System : Air Defense Missile Launcher : Light;Unspecified;;SPGPEWMAS------;pass
S*GPEWMASR;SPGPEWMASR-----;15;111102;00;00;Weapon/Weapon System : Air Defense Missile Launcher : Light Transporter-Launcher and Radar (TLAR);Unspecified;;SPGPEWMASR-----;pass
S*GPEWMASE;SPGPEWMASE-----;15;111103;00;00;Weapon/Weapon System : Air Defense Missile Launcher : Light Tactical Landing Approach Radar (TELAR);Unspecified;;SPGPEWMASE-----;pass
S*GPEWMAI-;SPGPEWMAI------;15;111104;00;00;Weapon/Weapon System : Air Defense Missile Launcher : Medium;Unspecified;;SPGPEWMAI------;pass
S*GPEWMAIR;SPGPEWMAIR-----;15;111105;00;00;Weapon/Weapon System : Air Defense Missile Launcher : Medium TLAR;Unspecified;;SPGPEWMAIR-----;pass
S*GPEWMAIE;SPGPEWMAIE-----;15;111106;00;00;Weapon/Weapon System : Air Defense Missile Launcher : Medium TELAR Air Defense Missile Launcher;Unspecified;;SPGPEWMAIE-----;pass
S*GPEWMAL-;SPGPEWMAL------;15;111107;00;00;Weapon/Weapon System : Air Defense Missile Launcher : Heavy;Unspecified;;SPGPEWMAL------;pass
S*GPEWMALR;SPGPEWMALR-----;15;111108;00;00;Weapon/Weapon System : Air Defense Missile Launcher : Heavy TLAR;Unspecified;;SPGPEWMALR-----;pass
S*GPEWMALE;SPGPEWMALE-----;15;111109;00;00;Weapon/Weapon System : Air Defense Missile Launcher : Heavy TELAR;Unspecified;;SPGPEWMALE-----;pass
S*GPEWMT--;SPGPEWMT-------;15;111200;00;00;Weapon/Weapon System : Antitank Missile Launcher;Unspecified;;SPGPEWMT-------;pass
S*GPEWMTL-;SPGPEWMTL------;15;111201;00;00;Weapon/Weapon System : Antitank Missile Launcher : Light;Unspecified;;SPGPEWMTL------;pass
S*GPEWMTM-;SPGPEWMTM------;15;111202;00;00;Weapon/Weapon System : Antitank Missile Launcher : Medium;Unspecified;;SPGPEWMTM------;pass
S*GPEWMTH-;SPGPEWMTH------;15;111203;00;00;Weapon/Weapon System : Antitank Missile Launcher : Heavy;Unspecified;;SPGPEWMTH------;pass
S*GPEWMS--;SPGPEWMS-------;15;111300;00;00;Weapon/Weapon System : Surface-to-Surface Missile Launcher;Unspecified;;SPGPEWMS-------;pass
S*GPEWMSS-;SPGPEWMSS------;15;111301;00;00;Weapon/Weapon System : Surface-to-Surface Missile Launcher : Light;Unspecified;;SPGPEWMSS------;pass
S*GPEWMSI-;SPGPEWMSI------;15;111302;00;00;Weapon/Weapon System : Surface-to-Surface Missile Launcher : Medium;Unspecified;;SPGPEWMSI------;pass
S*GPEWMSL-;SPGPEWMSL------;15;111303;00;00;Weapon/Weapon System : Surface-to-Surface Missile Launcher : Heavy;Unspecified;;SPGPEWMSL------;pass
S*GPEWO---;SPGPEWO--------;15;111400;00;00;Weapon/Weapon System : Mortar;Unspecified;;SPGPEWO--------;pass
S*GPEWOL--;SPGPEWOL-------;15;111401;00;00;Weapon/Weapon System : Mortar : Light;Unspecified;;SPGPEWOL-------;pass
S*GPEWOM--;SPGPEWOM-------;15;111402;00;00;Weapon/Weapon System : Mortar : Medium;Unspecified;;SPGPEWOM-------;pass
S*GPEWOH--;SPGPEWOH-------;15;111403;00;00;Weapon/Weapon System : Mortar : Heavy;Unspecified;;SPGPEWOH-------;pass
S*GPEWS---;SPGPEWS--------;15;111500;00;00;Weapon/Weapon System : Single Rocket Launcher;Unspecified;;SPGPEWS--------;pass
S*GPEWSL--;SPGPEWSL-------;15;111501;00;00;Weapon/Weapon System : Single Rocket Launcher : Light;Unspecified;;SPGPEWSL-------;pass
S*GPEWSM--;SPGPEWSM-------;15;111502;00;00;Weapon/Weapon System : Single Rocket Launcher : Medium;Unspecified;;SPGPEWSM-------;pass
S*GPEWSH--;SPGPEWSH-------;15;111503;00;00;Weapon/Weapon System : Single Rocket Launcher : Heavy;Unspecified;;SPGPEWSH-------;pass
S*GPEWX---;SPGPEWX--------;15;111600;00;00;Weapon/Weapon System : Multiple Rocket Launcher;Unspecified;;SPGPEWX--------;pass
S*GPEWXL--;SPGPEWXL-------;15;111601;00;00;Weapon/Weapon System : Multiple Rocket Launcher : Light;Unspecified;;SPGPEWXL-------;pass
S*GPEWXM--;SPGPEWXM-------;15;111602;00;00;Weapon/Weapon System : Multiple Rocket Launcher : Medium;Unspecified;;SPGPEWXM-------;pass
S*GPEWXH--;SPGPEWXH-------;15;111603;00;00;Weapon/Weapon System : Multiple Rocket Launcher : Heavy;Unspecified;;SPGPEWXH-------;pass
S*GPEWT---;SPGPEWT--------;15;111700;00;00;Weapon/Weapon System : Antitank Rocket Launcher;Unspecified;;SPGPEWT--------;pass
S*GPEWTL--;SPGPEWTL-------;15;111701;00;00;Weapon/Weapon System : Antitank Rocket Launcher : Light;Unspecified;;SPGPEWTL-------;pass
S*GPEWTM--;SPGPEWTM-------;15;111702;00;00;Weapon/Weapon System : Antitank Rocket Launcher : Medium;Unspecified;;SPGPEWTM-------;pass
S*GPEWTH--;SPGPEWTH-------;15;111703;00;00;Weapon/Weapon System : Antitank Rocket Launcher : Heavy;Unspecified;;SPGPEWTH-------;pass
S*GPEV----;SPGPEV---------;15;120000;00;00;Vehicle;Unspecified;;SPGPEV---------;pass
S*GPEVA---;SPGPEVA--------;15;120100;00;00;Vehicle : Armored Vehicle;Unspecified;;SPGPEVA--------;pass
